t15,instance,ip,server,status,anomaly_score,threshold,is_anomaly,is_sustained,dominant_metric,resource,severity
2026-02-25 03:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5083746342577288,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-25 03:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5107750922942371,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-25 03:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5769696540604728,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 04:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5369852022736347,0.638473806008942,False,False,mean_disk_pct_C:,DISK,LOW
2026-02-25 04:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5978323805383302,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-25 04:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5521027392735671,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-25 04:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5793185435983353,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 05:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5383453452637375,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-25 05:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5699297090094588,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-25 05:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5552911827191385,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-25 05:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5475918265918975,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
2026-02-25 06:00:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5739067496308756,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-25 06:15:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5540627685502137,0.638473806008942,False,False,mean_disk_pct_C:,DISK,MEDIUM
2026-02-25 06:30:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5661541975460442,0.638473806008942,False,False,mean_cpu_pct,CPU,MEDIUM
2026-02-25 06:45:00,192.168.1.2:9182,192.168.1.2,192.168.1.2:9182,active,0.5461457938425216,0.638473806008942,False,False,mean_cpu_pct,CPU,LOW
